username,repo_name,stars,repo_url
github,gitignore,127000,https://github.com/github/gitignore
gogs,gogs,38100,https://github.com/gogs/gogs
tiimgreen,github-cheat-sheet,33500,https://github.com/tiimgreen/github-cheat-sheet
sharkdp,bat,30600,https://github.com/sharkdp/bat
go-gitea,gitea,27200,https://github.com/go-gitea/gitea
cli,cli,26500,https://github.com/cli/cli
typicode,husky,24900,https://github.com/typicode/husky
jesseduffield,lazygit,24200,https://github.com/jesseduffield/lazygit
github,hub,21400,https://github.com/github/hub
git-tips,tips,20000,https://github.com/git-tips/tips
bregman-arie,devops-exercises,19600,https://github.com/bregman-arie/devops-exercises
tj,git-extras,15300,https://github.com/tj/git-extras
Requarks,wiki,14900,https://github.com/Requarks/wiki
so-fancy,diff-so-fancy,14800,https://github.com/so-fancy/diff-so-fancy
netlify,netlify-cms,14700,https://github.com/netlify/netlify-cms
geeeeeeeeek,git-recipes,14000,https://github.com/geeeeeeeeek/git-recipes
desktop,desktop,13600,https://github.com/desktop/desktop
521xueweihan,git-tips,13500,https://github.com/521xueweihan/git-tips
pomber,git-history,12700,https://github.com/pomber/git-history
commitizen,cz-cli,12600,https://github.com/commitizen/cz-cli
phacility,phabricator,12200,https://github.com/phacility/phabricator
aalansehaiyang,technology-talk,12100,https://github.com/aalansehaiyang/technology-talk
dandavison,delta,11400,https://github.com/dandavison/delta
meolu,walle-web,11300,https://github.com/meolu/walle-web
sindresorhus,pure,10800,https://github.com/sindresorhus/pure
jonas,tig,10400,https://github.com/jonas/tig
FredrikNoren,ungit,9800,https://github.com/FredrikNoren/ungit
dolthub,dolt,9800,https://github.com/dolthub/dolt
git-lfs,git-lfs,9800,https://github.com/git-lfs/git-lfs
conventional-changelog,commitlint,9700,https://github.com/conventional-changelog/commitlint
