username,repo_name,stars,repo_url
phoenixframework,phoenix,17400,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,12400,https://github.com/asdf-vm/asdf
plausible,analytics,9400,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8200,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6100,https://github.com/oldratlee/translations
papercups-io,papercups,4500,https://github.com/papercups-io/papercups
supabase,realtime,4200,https://github.com/supabase/realtime
rrrene,credo,4100,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,3900,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,3800,https://github.com/absinthe-graphql/absinthe
elixirschool,elixirschool,3200,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3200,https://github.com/ueberauth/guardian
rusterlium,rustler,3000,https://github.com/rusterlium/rustler
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
thechangelog,changelog.com,2300,https://github.com/thechangelog/changelog.com
dependabot,dependabot-core,2300,https://github.com/dependabot/dependabot-core
livebook-dev,livebook,2200,https://github.com/livebook-dev/livebook
edgurgel,httpoison,2000,https://github.com/edgurgel/httpoison
quantum-elixir,quantum-core,1900,https://github.com/quantum-elixir/quantum-core
devinus,poison,1900,https://github.com/devinus/poison
elixirkoans,elixir-koans,1800,https://github.com/elixirkoans/elixir-koans
nerves-project,nerves,1800,https://github.com/nerves-project/nerves
thoughtbot,bamboo,1800,https://github.com/thoughtbot/bamboo
thoughtbot,ex_machina,1700,https://github.com/thoughtbot/ex_machina
dashbitco,broadway,1700,https://github.com/dashbitco/broadway
philss,floki,1600,https://github.com/philss/floki
elixir-nx,nx,1600,https://github.com/elixir-nx/nx
ockam-network,ockam,1600,https://github.com/ockam-network/ockam
teamon,tesla,1600,https://github.com/teamon/tesla
