username,repo_name,stars,repo_url
ovity,octotree,21700,https://github.com/ovity/octotree
gitpod-io,gitpod,6100,https://github.com/gitpod-io/gitpod
danger,danger,4700,https://github.com/danger/danger
reviewdog,reviewdog,4400,https://github.com/reviewdog/reviewdog
danger,danger-js,4000,https://github.com/danger/danger-js
joho,awesome-code-review,3200,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
ajinabraham,nodejsscan,1900,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1800,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1800,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1500,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1000,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1000,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,972,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,815,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,700,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,580,https://github.com/enlightn/enlightn
palantir,policy-bot,429,https://github.com/palantir/policy-bot
uwolfer,gerrit-intellij-plugin,428,https://github.com/uwolfer/gerrit-intellij-plugin
bsamseth,cpp-project,425,https://github.com/bsamseth/cpp-project
mookid,diffr,392,https://github.com/mookid/diffr
mgreiler,code-review-checklist,348,https://github.com/mgreiler/code-review-checklist
sjparkinson,static-review,327,https://github.com/sjparkinson/static-review
dpnishant,raptor,324,https://github.com/dpnishant/raptor
burrito-brothers,shiba,287,https://github.com/burrito-brothers/shiba
charignon,github-review,266,https://github.com/charignon/github-review
wandersoncferreira,code-review,165,https://github.com/wandersoncferreira/code-review
src-d,lookout,143,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,141,https://github.com/uwolfer/gerrit-rest-java-client
