username,repo_name,stars,repo_url
atom,atom,56400,https://github.com/atom/atom
themerdev,themer,4500,https://github.com/themerdev/themer
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3500,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3200,https://github.com/miniflux/v2
atom,teletype,2300,https://github.com/atom/teletype
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1800,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1400,https://github.com/ocaml/merlin
kurtmckee,feedparser,1300,https://github.com/kurtmckee/feedparser
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1200,https://github.com/atom/apm
file-icons,atom,1200,https://github.com/file-icons/atom
kettanaito,atomic-layout,1000,https://github.com/kettanaito/atomic-layout
atom,github,980,https://github.com/atom/github
nmdias,FeedKit,940,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,933,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,928,https://github.com/danhper/atomic-chrome
jesseweed,seti-ui,884,https://github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,820,https://github.com/fwcd/kotlin-language-server
prettier,prettier-atom,768,https://github.com/prettier/prettier-atom
raphamorim,lucario,732,https://github.com/raphamorim/lucario
atom-community,atom-script,727,https://github.com/atom-community/atom-script
jasonmunro,cypht,680,https://github.com/jasonmunro/cypht
jpmonette,feed,674,https://github.com/jpmonette/feed
jekyll,jekyll-feed,674,https://github.com/jekyll/jekyll-feed
